Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
XSHQ,2546,0,0.00,0,0.00,31.04,2546,0
RSEE,2500,0,0.00,0,0.00,23.98,2500,0
HSRT,2483,0,0.00,0,0.00,38.02,2483,0
BUFF,2425,0,0.00,0,0.00,33.09,2425,0
UJUN,2404,0,0.00,0,0.00,26.61,2404,0
XDSQ,2358,0,0.00,0,0.00,22.76,2358,0
DFND,2283,0,0.00,0,0.00,33.35,2283,0
PDEC,2279,0,0.00,0,0.00,28.75,2279,0
ROMO,2268,0,0.00,0,0.00,25.67,2268,0
HEEM,2251,0,0.00,0,0.00,25.59,2051,200
JEMA,2201,0,0.00,0,0.00,36.55,1841,360
DUSA,2196,0,0.00,0,0.00,27.36,2196,0
JPIB,2190,0,0.00,0,0.00,44.94,1990,200
QMAR,2141,0,0.00,0,0.00,19.21,2141,0
QTAP,2101,0,0.00,0,0.00,23.70,2101,0
FAUG,2093,0,0.00,0,0.00,34.54,2093,0
FLIA,2000,0,0.00,0,0.00,23.14,2000,0
SEIV,2000,0,0.00,0,0.00,23.36,2000,0
PNOV,1939,0,0.00,0,0.00,28.38,1939,0
TMAT,1934,0,0.00,0,0.00,13.21,1934,0
LEAD,1897,0,0.00,0,0.00,47.21,1847,50
HYHG,1889,0,0.00,0,0.00,56.65,1689,200
RODE,1859,0,0.00,0,0.00,24.51,1859,0
FFEB,1857,0,0.00,0,0.00,34.14,1857,0
FDRV,1818,0,0.00,0,0.00,17.86,1545,273
SMMV,1813,0,0.00,0,0.00,34.07,1813,0
DUDE,1811,0,0.00,0,0.00,23.83,1243,568
JBBB,1802,0,0.00,0,0.00,45.65,1802,0
XJH,1794,0,0.00,0,0.00,30.71,1794,0
PJUN,1780,0,0.00,0,0.00,29.03,1580,200
DDEC,1728,0,0.00,0,0.00,29.92,1728,0
PSEP,1680,0,0.00,0,0.00,28.13,1680,0
NETZ,1664,0,0.00,0,0.00,43.45,1664,0
ADME,1645,0,0.00,0,0.00,34.54,1645,0
FCLD,1642,0,0.00,0,0.00,15.84,1441,201
KJAN,1635,0,0.00,0,0.00,28.24,1635,0
TTAC,1609,0,0.00,0,0.00,45.15,1609,0
NURE,1576,12,38.50,0,0.00,32.49,1576,0
HEGD,1572,0,0.00,0,0.00,17.04,1572,0
DAPR,1544,0,0.00,0,0.00,29.14,1544,0
IDHD,1525,0,0.00,0,0.00,23.73,1525,0
EWUS,1514,0,0.00,0,0.00,31.64,1514,0
ACIO,1506,0,0.00,0,0.00,28.79,1506,0
USEP,1502,0,0.00,0,0.00,26.53,1502,0
SEIM,1450,0,0.00,0,0.00,23.66,1450,0
DFNL,1439,0,0.00,0,0.00,25.94,1439,0
PAWZ,1427,0,0.00,0,0.00,52.81,1427,0
QJUN,1418,0,0.00,0,0.00,18.00,1418,0
XVV,1416,0,0.00,0,0.00,28.50,1416,0
QSPT,1349,0,0.00,0,0.00,16.92,1349,0
PMAY,1317,0,0.00,0,0.00,27.40,1257,60
IEDI,1304,0,0.00,2,32.00,34.82,1304,0
DINT,1302,0,0.00,0,0.00,16.61,1302,0
PSFJ,1301,0,0.00,0,0.00,20.33,1301,0
SATO,1298,0,0.00,0,0.00,6.15,1298,0
LQDI,1279,0,0.00,0,0.00,25.95,1279,0
PBEE,1253,0,0.00,0,0.00,23.01,1253,0
DFEB,1246,0,0.00,0,0.00,33.18,1246,0
IEHS,1240,0,0.00,0,0.00,38.52,1240,0
VXZ,1229,200,30.10,200,29.50,29.58,1122,107
DMAR,1226,0,0.00,0,0.00,29.75,1226,0
IDME,1204,0,0.00,0,0.00,20.06,1204,0
MOTI,1201,0,0.00,0,0.00,28.89,1201,0
IBHG,1200,0,0.00,0,0.00,21.10,1200,0
PSMO,1200,0,0.00,0,0.00,19.60,1200,0
IVAL,1186,0,0.00,1,20.24,22.43,1186,0
XVOL,1165,0,0.00,0,0.00,17.58,1065,100
DFNV,1163,0,0.00,0,0.00,22.18,1163,0
PTEU,1102,0,0.00,0,0.00,22.36,1102,0
IGHG,1068,0,0.00,0,0.00,69.08,1068,0
JCPI,1066,0,0.00,0,0.00,48.30,1066,0
FLBL,1064,0,0.00,0,0.00,23.18,1064,0
CLSE,1060,0,0.00,0,0.00,14.41,1060,0
FLDR,1047,0,0.00,0,0.00,49.57,1020,27
CEFS,1046,0,0.00,0,0.00,17.26,1046,0
KNGS,1001,0,0.00,0,0.00,17.00,1001,0
PSMM,1000,0,0.00,0,0.00,13.67,1000,0
BNOV,999,0,0.00,0,0.00,28.71,999,0
IBHC,986,0,0.00,0,0.00,23.43,986,0
XDEC,955,0,0.00,0,0.00,27.93,955,0
XTJL,953,0,0.00,0,0.00,22.45,905,48
HCRB,947,0,0.00,0,0.00,35.68,947,0
UDEC,943,0,0.00,0,0.00,27.81,943,0
OSCV,942,0,0.00,0,0.00,28.96,942,0
BMAR,931,0,0.00,0,0.00,30.99,931,0
POCT,925,0,0.00,0,0.00,28.13,725,200
TRTY,924,0,0.00,0,0.00,25.60,924,0
RPHS,900,0,0.00,0,0.00,8.87,900,0
YPS,899,0,0.00,0,0.00,19.95,899,0
IETC,896,0,0.00,25,40.00,42.31,896,0
EAOR,876,0,0.00,0,0.00,26.39,876,0
OMFS,859,0,0.00,0,0.00,33.50,859,0
TDV,842,0,0.00,0,0.00,53.53,842,0
TMFS,835,0,0.00,0,0.00,23.62,835,0
WEED,826,0,0.00,0,0.00,9.00,826,0
RESD,813,0,0.00,0,0.00,24.93,212,601
PSCW,800,0,0.00,0,0.00,20.45,800,0
PSMD,800,0,0.00,0,0.00,20.74,800,0
QLC,798,0,0.00,0,0.00,42.04,798,0
YSEP,748,0,0.00,0,0.00,17.32,748,0
WUGI,746,0,0.00,1,36.87,37.74,746,0
PBUS,739,0,0.00,0,0.00,37.72,739,0
SEPZ,738,0,0.00,0,0.00,28.45,738,0
WFHY,712,0,0.00,0,0.00,44.00,710,2
DNOV,711,0,0.00,0,0.00,32.38,411,300
NULC,707,0,0.00,0,0.00,31.69,707,0
JULZ,687,0,0.00,0,0.00,31.26,687,0
NUDV,686,0,0.00,0,0.00,22.91,686,0
VFMO,686,0,0.00,0,0.00,107.13,686,0
EMTL,678,0,0.00,0,0.00,41.29,678,0
DBOC,668,0,0.00,0,0.00,27.01,668,0
IMOM,664,0,0.00,0,0.00,24.68,664,0
MPRO,647,0,0.00,0,0.00,25.35,647,0
FBCV,631,0,0.00,0,0.00,26.84,631,0
GAA,615,0,0.00,1,26.00,27.08,615,0
HYIN,602,0,0.00,0,0.00,19.28,602,0
UNOV,600,0,0.00,0,0.00,27.39,400,200
HYDB,591,0,0.00,0,0.00,43.31,591,0
FMIL,587,0,0.00,20,23.55,26.98,587,0
WTAI,586,2,15.42,0,0.00,15.07,586,0
ZECP,579,0,0.00,0,0.00,22.35,579,0
VFMF,573,0,0.00,0,0.00,90.23,573,0
MRSK,571,0,0.00,0,0.00,25.98,471,100
IBHB,566,0,0.00,0,0.00,24.02,566,0
EGIS,558,0,0.00,0,0.00,30.02,558,0
FJAN,558,0,0.00,0,0.00,31.26,558,0
DAUG,547,0,0.00,0,0.00,32.33,547,0
PBSM,518,0,0.00,0,0.00,30.56,518,0
